Iteration,Row,Col,Value,Policy
9,2,8,-0.9123588999999999,DOWN
9,2,9,0.0973790000000001,DOWN
9,3,0,-6.5132155990000005,UP
9,3,1,-6.5132155990000005,UP
9,3,2,-6.5132155990000005,UP
9,3,5,-2.639010709,DOWN
9,3,6,-1.82112301,DOWN
9,3,7,-0.9123588999999999,DOWN
9,3,8,0.0973790000000001,DOWN
9,3,9,1.2193100000000001,DOWN
9,4,0,-6.5132155990000005,UP
9,4,1,-6.5132155990000005,UP
9,4,2,-6.5132155990000005,UP
9,4,4,-2.639010709,RIGHT
9,4,5,-1.82112301,RIGHT
9,4,6,-0.9123588999999999,DOWN
9,4,7,0.0973790000000001,DOWN
9,4,8,1.2193100000000001,DOWN
9,4,9,2.4659,DOWN
9,5,6,0.0973790000000001,DOWN
9,5,7,1.2193100000000001,RIGHT
9,5,8,2.4659,DOWN
9,5,9,3.851,DOWN
9,6,0,-6.5132155990000005,DOWN
9,6,1,-6.5132155990000005,DOWN
9,6,2,-2.639010709,RIGHT
9,6,3,-1.82112301,DOWN
9,6,4,-0.9123588999999999,DOWN
9,6,5,0.0973790000000001,DOWN
9,6,6,1.2193100000000001,DOWN
9,6,8,3.851,DOWN
9,6,9,5.39,DOWN
9,7,0,-6.5132155990000005,UP
9,7,1,-2.639010709,DOWN
9,7,3,-0.9123588999999999,DOWN
9,7,4,0.0973790000000001,DOWN
9,7,5,1.2193100000000001,DOWN
9,7,6,2.4659,DOWN
9,7,7,3.851,DOWN
9,7,8,5.39,DOWN
9,7,9,7.1,DOWN
9,8,0,-2.639010709,DOWN
9,8,1,-1.82112301,DOWN
9,8,2,-0.9123588999999999,DOWN
9,8,3,0.0973790000000001,DOWN
9,8,4,1.2193100000000001,DOWN
9,8,5,2.4659,DOWN
9,8,6,3.851,DOWN
9,8,7,5.39,DOWN
9,8,8,7.1,DOWN
9,8,9,9.0,DOWN
9,9,0,-1.82112301,RIGHT
9,9,1,-0.9123588999999999,RIGHT
9,9,2,0.0973790000000001,RIGHT
9,9,3,1.2193100000000001,RIGHT
9,9,4,2.4659,RIGHT
9,9,5,3.851,RIGHT
9,9,6,5.39,RIGHT
9,9,7,7.1,RIGHT
9,9,8,9.0,RIGHT
10,0,0,-6.861894039100001,UP
10,0,1,-6.861894039100001,UP
10,0,2,-6.861894039100001,UP
